average_waiting_time,longest_waiting_time,longest_queue,most_left_waiting,percentage_left_waiting,average_rtt,max_rtt,avg_tram_load,lowest_tram_load,higest_tram_load,total_passengers,average_empty_time,longest_empty_time,longest_empty_time_station,total_delay_pr,total_delay_uc,punctuality
101,366,118,118,375.65661989587466,3505.202,3845,69,0,420,42839,36811,3798,Vaartsche Rijn,1524389,1586817,100
87,326,0,0,0,3464.8462,3502,66,0,305,43041,37174,3799,Kromme Rijn,1473488,1410486,100
87,333,0,0,0,3464.8462,3502,67,0,314,43122,36217,3779,Vaartsche Rijn,1473488,1412915,100
88,317,0,0,0,3464.8462,3502,67,0,281,42905,36879,3843,Kromme Rijn,1473488,1418061,100
90,355,0,0,0,3464.8462,3502,66,0,325,43282,37120,3872,Padualaan,1473488,1525582,100
87,365,0,0,0,3464.8462,3502,66,0,337,42704,36924,3760,Heidelberglaan,1473488,1413189,100
89,363,0,0,0,3464.8462,3502,66,0,336,42932,36435,3842,Vaartsche Rijn,1473488,1419603,100
89,333,0,0,0,3464.8462,3502,67,0,355,42845,36881,3750,Heidelberglaan,1473488,1416555,100
90,381,0,0,0,3464.8462,3502,67,0,330,42968,36413,3795,WKZ,1473488,1412432,100
89,341,0,0,0,3464.8462,3502,66,0,325,42833,37081,3878,Vaartsche Rijn,1473488,1416126,100
87,314,0,0,0,3464.8462,3502,68,0,336,43352,36694,3778,Vaartsche Rijn,1473488,1415064,100
104,388,104,104,404.7673803555412,3520.1514,4032,69,0,420,43470,37230,3754,Vaartsche Rijn,1557017,1621996,100
86,301,0,0,0,3464.8462,3502,68,0,300,43142,37136,3791,WKZ,1473488,1416602,100
89,352,0,0,0,3464.8462,3502,67,0,326,42975,37081,3857,Kromme Rijn,1473488,1420656,100
90,350,0,0,0,3464.8462,3502,67,0,387,43356,36680,3813,Vaartsche Rijn,1473488,1420330,100
90,326,0,0,0,3464.8462,3502,69,0,345,42873,36861,3813,Kromme Rijn,1473488,1415823,100
88,361,0,0,0,3464.8462,3502,67,0,336,42624,36384,3760,Kromme Rijn,1473488,1421175,100
87,339,0,0,0,3464.8462,3502,67,0,323,42985,36925,3759,WKZ,1473488,1413087,100
87,325,0,0,0,3464.8462,3502,67,0,291,42919,37101,3761,Kromme Rijn,1473488,1411242,100
87,307,0,0,0,3464.8462,3502,67,0,335,42947,36460,3765,WKZ,1473488,1414652,100
90,372,0,0,0,3464.8462,3502,66,0,350,42891,36912,3819,Kromme Rijn,1473488,1420446,100
93,366,0,0,0,3480.0872,3587,75,0,346,43205,37284,3844,Vaartsche Rijn,1484987,1505127,100
87,315,0,0,0,3464.8462,3502,67,0,349,43109,36895,3800,Vaartsche Rijn,1473488,1418605,100
88,351,0,0,0,3464.8462,3502,67,0,335,43356,36923,3833,Vaartsche Rijn,1473488,1414442,100
89,462,0,0,0,3464.8462,3502,70,0,372,43108,37153,3788,Kromme Rijn,1473488,1401454,100
89,386,0,0,0,3464.8462,3502,68,0,341,43411,36945,3864,WKZ,1473488,1414069,100
90,338,0,0,0,3464.8462,3502,67,0,354,43475,36658,3800,Kromme Rijn,1473488,1413162,100
87,300,0,0,0,3464.8462,3502,67,0,315,42875,36738,3816,Kromme Rijn,1473488,1414345,100
90,346,0,0,0,3464.8462,3502,68,0,331,42995,36685,3860,WKZ,1473488,1423493,100
89,343,0,0,0,3464.8462,3502,66,0,342,43004,37123,3888,Padualaan,1473488,1408839,100
86,319,0,0,0,3464.8462,3502,67,0,301,42958,36495,3771,Vaartsche Rijn,1473488,1412897,100
89,329,0,0,0,3464.8462,3502,67,0,332,43420,36688,3788,Kromme Rijn,1473488,1409923,100
89,308,0,0,0,3464.8462,3502,66,0,369,42842,36644,3784,Vaartsche Rijn,1473488,1415611,100
87,373,0,0,0,3464.8462,3502,66,0,317,42953,36769,3793,Kromme Rijn,1473488,1409710,100
88,363,0,0,0,3464.8462,3502,67,0,330,42936,36647,3788,Vaartsche Rijn,1473488,1411889,100
87,391,0,0,0,3464.8462,3502,68,0,282,42766,36701,3827,Heidelberglaan,1473488,1405057,100
86,314,0,0,0,3464.8462,3502,67,0,316,43048,37097,3798,Kromme Rijn,1473488,1409429,100
88,341,0,0,0,3464.8462,3502,67,0,300,43284,36681,3843,Vaartsche Rijn,1473488,1413605,100
89,332,0,0,0,3464.8462,3502,68,0,360,43648,36991,3839,Kromme Rijn,1473488,1414353,100
87,319,0,0,0,3464.8462,3502,68,0,306,43568,36902,3811,Vaartsche Rijn,1473488,1411788,100
86,361,0,0,0,3464.8462,3502,67,0,312,43424,36896,3815,Vaartsche Rijn,1473488,1422526,100
89,323,0,0,0,3464.8462,3502,67,0,342,43358,36406,3775,UMC,1473488,1417408,100
88,347,0,0,0,3464.8462,3502,68,0,341,43423,36879,3764,Kromme Rijn,1473488,1415771,100
92,381,0,0,0,3464.8462,3502,75,0,345,43059,37183,3751,Vaartsche Rijn,1473488,1474606,100
89,355,0,0,0,3464.8462,3502,69,0,315,43001,36852,3818,Vaartsche Rijn,1473488,1410718,100
87,341,0,0,0,3464.8462,3502,67,0,328,43246,36479,3854,Vaartsche Rijn,1473488,1414165,100
88,339,0,0,0,3464.8462,3502,67,0,289,43158,37097,3814,WKZ,1473488,1414821,100
94,360,61,61,112.19420751710562,3465.6223,3502,70,0,420,42675,37017,3784,Vaartsche Rijn,1474550,1526551,100
87,324,0,0,0,3464.8462,3502,67,0,304,43032,36918,3773,Kromme Rijn,1473488,1417007,100
89,405,0,0,0,3464.8462,3502,67,0,341,43427,36173,3788,Kromme Rijn,1473488,1415370,100
