average_waiting_time;longest_waiting_time;longest_queue;most_left_waiting;percentage_left_waiting;average_rtt;max_rtt;avg_tram_load;lowest_tram_load;highest_tram_load;total_passengers;average_empty_time;longest_empty_time;longest_empty_time_station;total_delay_pr;total_delay_uc;punctuality
118;390;0;0;0;2700;2700;13;0;71;1517;37306;36302;Padualaan;0;225;4,6153846
116;363;0;0;0;2700;2700;13;0;69;1524;35067;36212;UMC;0;305;6,1538463
113;406;0;0;0;2700;2700;13;0;64;1529;37304;36198;UMC;0;389;7,6923075
112;296;0;0;0;2700;2700;12;0;65;1494;35064;36190;UMC;0;0;0
115;352;0;0;0;2700;2700;13;0;65;1521;37305;36208;UMC;0;121;1,5384616
118;326;0;0;0;2700;2700;12;0;60;1485;35053;36188;UMC;0;188;3,0769231
118;408;0;0;0;2700;2700;13;0;59;1533;37313;36209;UMC;0;188;3,0769231
112;330;0;0;0;2700;2700;12;0;58;1536;35066;36213;Vaartsche Rijn;0;75;1,5384616
114;340;0;0;0;2700;2700;13;0;62;1516;32808;36225;Galgenwaard;0;236;4,6153846
117;343;0;0;0;2700;2700;13;0;74;1564;37307;36206;UMC;0;0;0
112;321;0;0;0;2700;2700;13;0;67;1527;37313;36185;UMC;0;0;0
112;325;0;0;0;2700;2700;13;0;59;1510;32820;36262;UMC;0;0;0
114;334;0;0;0;2700;2700;12;0;56;1452;35048;36206;UMC;0;60;1,5384616
114;294;0;0;0;2700;2700;12;0;63;1499;37303;36214;Heidelberglaan;0;60;1,5384616
117;304;0;0;0;2700;2700;12;0;61;1490;37312;36206;UMC;0;75;1,5384616
114;338;0;0;0;2700;2700;12;0;56;1481;35048;36345;UMC;0;75;1,5384616
113;367;0;0;0;2700;2700;12;0;62;1482;37317;36199;UMC;0;75;1,5384616
117;294;0;0;0;2700;2700;12;0;71;1485;37301;36207;UMC;0;156;3,0769231
116;413;0;0;0;2700;2700;12;0;64;1482;37291;36221;UMC;0;247;4,6153846
114;350;0;0;0;2700;2700;14;0;58;1617;37306;36211;UMC;0;150;3,0769231
116;370;0;0;0;2700;2700;13;0;57;1483;35033;36265;Vaartsche Rijn;0;227;4,6153846
112;402;0;0;0;2700;2700;13;0;69;1588;35056;36240;Padualaan;0;75;1,5384616
114;351;0;0;0;2700;2700;12;0;54;1495;35054;36160;WKZ;0;75;1,5384616
115;302;0;0;0;2700;2700;13;0;59;1538;37287;36205;Vaartsche Rijn;0;0;0
114;285;0;0;0;2700;2700;12;0;64;1491;35061;36192;WKZ;0;0;0
112;330;0;0;0;2700;2700;13;0;66;1520;37309;36202;UMC;0;75;1,5384616
117;309;0;0;0;2700;2700;13;0;68;1557;37313;36231;UMC;0;0;0
113;326;0;0;0;2700;2700;12;0;66;1479;37300;36186;UMC;0;75;1,5384616
114;370;0;0;0;2700;2700;13;0;69;1508;37323;36231;UMC;0;153;3,0769231
114;322;0;0;0;2700;2700;12;0;66;1491;35050;36201;UMC;0;93;1,5384616
116;349;0;0;0;2699,8096;2700;14;0;77;1648;35054;36197;Kromme Rijn;0;212;4,6153846
117;332;0;0;0;2700;2700;12;0;70;1490;32803;36184;Padualaan;0;0;0
111;305;0;0;0;2700;2700;12;0;66;1493;35058;36209;UMC;0;0;0
114;308;0;0;0;2700;2700;12;0;61;1493;37321;36220;UMC;0;0;0
116;318;0;0;0;2700;2700;12;0;79;1455;37287;36195;Kromme Rijn;0;98;1,5384616
113;314;0;0;0;2700;2700;12;0;62;1496;37308;36233;Kromme Rijn;0;141;3,0769231
117;310;0;0;0;2700;2700;13;0;61;1501;37294;36185;UMC;0;75;1,5384616
112;354;0;0;0;2700;2700;13;0;59;1513;35056;36209;Vaartsche Rijn;0;80;1,5384616
117;320;0;0;0;2700;2700;13;0;67;1557;37291;36204;Kromme Rijn;0;81;1,5384616
112;348;0;0;0;2700;2700;12;0;61;1454;35054;36210;UMC;0;150;3,0769231
113;303;0;0;0;2700;2700;12;0;64;1500;32787;36254;UMC;0;0;0
113;339;0;0;0;2700;2700;13;0;66;1552;37290;36210;UMC;0;138;3,0769231
112;301;0;0;0;2700;2700;12;0;62;1538;32798;36183;Padualaan;0;65;1,5384616
113;305;0;0;0;2700;2700;13;0;64;1547;37329;36198;Kromme Rijn;0;0;0
115;312;0;0;0;2700;2700;13;0;61;1485;37317;36195;UMC;0;150;3,0769231
113;292;0;0;0;2700;2700;12;0;61;1478;37297;36221;UMC;0;75;1,5384616
115;384;0;0;0;2700;2700;13;0;68;1495;35051;36184;UMC;0;139;3,0769231
114;365;0;0;0;2700;2700;13;0;63;1530;35072;36163;Vaartsche Rijn;0;0;0
114;344;0;0;0;2700;2700;13;0;61;1467;37303;36232;UMC;0;225;4,6153846
118;338;0;0;0;2700;2700;13;0;66;1533;32807;36187;Vaartsche Rijn;0;75;1,5384616
