average_waiting_time,longest_waiting_time,longest_queue,most_left_waiting,percentage_left_waiting,average_rtt,max_rtt,avg_tram_load,lowest_tram_load,higest_tram_load,total_passengers,average_empty_time,longest_empty_time,longest_empty_time_station,total_delay_pr,total_delay_uc,punctuality
102,360,54,54,135.79180713988822,2457.0837,2511,69,0,420,43314,37573,3816,Heidelberglaan,0,0,0
102,485,53,53,53.393121301775146,2457.1912,2515,69,0,420,43271,37367,3772,WKZ,0,159,0.43763676
102,377,35,35,34.112268813960505,2456.9536,2514,69,0,420,43087,37867,3786,Padualaan,25219,161,0.65502185
102,409,99,99,161.37458964866943,2456.9668,2515,69,0,420,42963,37578,3812,Padualaan,0,193,0.43763676
103,384,141,141,137.5641710608841,2457.195,2524,69,0,420,43084,37353,3788,Padualaan,67,0,0.21881838
101,362,115,115,112.59003706380102,2456.4268,2508,69,0,420,42897,37350,3814,Padualaan,25212,0,0.2183406
102,374,34,34,44.79584502307033,2457.023,2508,69,0,420,43111,36934,3771,Galgenwaard,25220,70,0.4366812
103,393,29,29,40.684454488849944,2456.9812,2540,69,0,420,43394,37419,3812,Galgenwaard,83,107,0.43763676
102,352,27,27,26.16097999861582,2456.9539,2508,69,0,420,43363,37616,3833,Galgenwaard,0,0,0
101,379,2,2,1.9555803883223914,2456.5103,2508,69,0,420,42982,37581,3795,Padualaan,0,161,0.43763676
101,337,0,0,0,2456.6533,2515,69,0,374,43196,37412,3823,Vaartsche Rijn,25233,171,0.65502185
105,496,119,119,256.1830710494459,2456.8662,2550,69,0,420,42979,37181,3846,UMC,25318,856,1.7467248
101,421,0,0,0,2456.8472,2514,69,0,398,42998,37629,3768,Kromme Rijn,25227,149,0.65502185
104,508,69,69,90.01467402697226,2457.029,2513,69,0,420,42941,37615,3797,Galgenwaard,0,258,0.65645516
103,348,70,70,68.30061563480079,2456.6199,2512,69,0,420,43018,37612,3804,UMC,25200,335,1.091703
103,361,59,59,99.29556458089534,2457.0146,2578,70,0,420,43561,37858,3818,Vaartsche Rijn,121,161,0.43763676
102,397,0,0,0,2457.0425,2510,69,0,411,43123,37830,3795,Galgenwaard,0,419,0.8752735
102,347,38,38,54.529019098831824,2456.971,2523,69,0,420,43168,37632,3818,Heidelberglaan,66,182,0.65645516
103,365,145,145,212.8069890099677,2457,2525,69,0,420,43075,37615,3804,Galgenwaard,68,181,0.65645516
101,367,0,0,0,2456.715,2514,69,0,391,43232,37831,3825,Galgenwaard,0,207,0.65645516
102,380,53,53,51.82986450621595,2456.9949,2516,69,0,420,42976,37355,3810,Kromme Rijn,0,78,0.21881838
100,329,0,0,0,2456.585,2511,69,0,393,43397,37394,3859,Kromme Rijn,0,126,0.43763676
105,451,276,276,337.5272104117456,2456.9028,2618,69,0,420,43202,37668,3780,Padualaan,25687,1270,2.838428
105,411,113,113,290.3472753845083,2457.3953,2513,69,0,420,43095,37609,3822,WKZ,0,261,0.65645516
104,449,145,145,191.5111896896664,2457.1294,2550,69,0,420,42988,37634,3789,Galgenwaard,219,790,1.9693655
101,360,28,28,39.808291950571665,2456.9724,2506,69,0,420,43295,37824,3782,WKZ,25200,0,0.2183406
103,450,0,0,0,2457.404,2512,70,0,376,43233,37588,3772,Padualaan,0,300,0.65645516
105,489,82,82,170.01802384693593,2456.736,2704,70,0,420,43285,37903,3811,WKZ,992,1747,3.501094
101,376,31,31,30.39570444729777,2456.982,2514,69,0,420,42865,37561,3753,Padualaan,0,227,0.43763676
101,347,0,0,0,2456.4517,2541,68,0,381,42837,37403,3936,WKZ,186,153,0.8752735
101,354,14,14,13.685876547807466,2456.596,2514,70,0,420,42988,37851,3809,Heidelberglaan,25241,422,1.3100437
103,394,67,67,128.13691728106872,2456.5215,2510,69,0,420,43263,37385,3818,WKZ,0,118,0.21881838
101,367,33,33,32.530092212393534,2457.8232,2514,69,0,420,42645,37366,3806,Vaartsche Rijn,0,60,0.21881838
101,355,6,6,7.790581743142664,2456.854,2522,70,0,420,43145,37811,3786,Heidelberglaan,65,0,0.21881838
103,358,122,122,161.27530835466604,2457.2231,2517,69,0,420,42998,37352,3800,Kromme Rijn,60,79,0.43763676
101,360,26,26,25.32350076527063,2456.916,2508,69,0,420,43094,37839,3774,Galgenwaard,0,121,0.43763676
102,409,56,56,54.515538457973165,2456.764,2516,69,0,420,43142,37600,3777,WKZ,0,84,0.21881838
102,377,106,106,134.45220255631074,2456.9248,2508,69,0,420,43112,37868,3795,WKZ,0,84,0.21881838
102,392,19,19,18.577148710308222,2456.7302,2516,69,0,420,42969,37848,3778,Kromme Rijn,0,400,0.8752735
101,364,32,32,31.118314424635336,2457.1309,2515,70,0,420,43176,37643,3798,Galgenwaard,0,399,1.0940919
102,374,105,105,102.54860013022045,2456.7441,2521,69,0,420,43006,37573,3808,WKZ,25279,391,1.3100437
102,401,43,43,79.89192197972957,2456.9587,2519,69,0,420,43106,37815,3789,Padualaan,62,98,0.43763676
101,339,0,0,0,2456.8198,2508,69,0,407,42932,37601,3771,Padualaan,0,0,0
101,336,9,9,8.842090501121914,2457.1812,2510,69,0,420,42781,37855,3800,Padualaan,60,326,0.8752735
103,455,84,84,124.63257452825816,2456.782,2510,69,0,420,43171,37637,3870,WKZ,0,118,0.21881838
104,426,104,104,158.57083659468668,2456.6995,2534,70,0,420,43474,37161,3848,WKZ,25424,343,1.3100437
103,330,35,35,43.56764231389721,2456.4949,2508,70,0,420,43362,37642,3770,Padualaan,25214,0,0.2183406
102,345,111,111,160.55130877924483,2457.0137,2510,69,0,420,43186,37427,3771,Padualaan,0,91,0.21881838
102,360,64,64,62.327544229832824,2457.1443,2508,69,0,420,43132,37376,3784,WKZ,0,204,0.65645516
100,339,0,0,0,2456.8284,2508,69,0,394,42685,37537,3799,WKZ,0,60,0.21881838
