average_waiting_time;longest_waiting_time;longest_queue;most_left_waiting;percentage_left_waiting;average_rtt;max_rtt;avg_tram_load;lowest_tram_load;highest_tram_load;total_passengers;average_empty_time;longest_empty_time;longest_empty_time_station;total_delay_pr;total_delay_uc;punctuality
660;2953;2582;2582;119002,18767585818;2700;2700;192;0;420;16457;10606;5580;Padualaan;0;81;1,5384616
681;2572;2413;2413;125427,9574529251;2700;2700;189;0;420;16367;10261;5677;UMC;0;509;9,230769
664;1794;2543;2543;120252,23360364205;2700;2700;188;0;420;16242;10256;5588;Heidelberglaan;0;150;3,0769231
642;3283;2325;2325;115193,3779028853;2700;2700;190;0;420;16431;10605;5616;Kromme Rijn;0;364;7,6923075
653;2038;2436;2436;117376,84472934472;2700;2700;191;0;420;16239;10604;5599;UMC;0;71;1,5384616
679;3392;2516;2516;121920,53590416105;2700;2700;191;0;420;16315;10277;5599;UMC;0;0;0
705;1758;2600;2600;130607,45658102483;2700;2700;189;0;420;16343;10603;5590;UMC;0;75;1,5384616
682;4425;2633;2633;125526,04611443212;2700;2700;190;0;420;16443;10614;5630;Kromme Rijn;0;217;4,6153846
631;3017;2304;2304;110995,55445263755;2700;2700;189;0;420;16183;10605;5609;Kromme Rijn;0;163;3,0769231
648;2106;2496;2496;116018,9112358752;2700;2700;191;0;420;16314;10270;5609;Vaartsche Rijn;0;75;1,5384616
657;1922;2465;2465;119222,41867043846;2700;2700;190;0;420;16327;10596;5650;Padualaan;0;75;1,5384616
687;2368;2734;2734;123894,93987975952;2700;2700;188;0;420;16246;10625;5577;UMC;0;378;6,1538463
655;2181;2673;2673;120598,54878478339;2700;2700;192;0;420;16490;10610;5603;UMC;0;166;3,0769231
651;3892;2387;2387;116674,28268551237;2700;2700;190;0;420;16345;10283;5573;Padualaan;0;224;4,6153846
593;2030;2217;2217;102829,58998040862;2700;2700;191;0;420;16210;10590;5594;Kromme Rijn;0;250;4,6153846
646;2124;2579;2579;114390,09414078966;2700;2700;190;0;420;16332;10623;5647;UMC;0;373;6,1538463
666;2012;2538;2538;119426,02307747438;2700;2700;190;0;420;16243;10593;5630;Kromme Rijn;0;225;4,6153846
695;2259;2552;2552;128985,49156403504;2700;2700;189;0;420;16344;10596;5632;UMC;0;446;7,6923075
707;2276;2610;2610;129390,49725333523;2700;2700;187;0;420;16352;10282;5586;Kromme Rijn;0;248;4,6153846
729;2227;2834;2834;137415,69484240687;2700;2700;187;0;420;16504;10608;5665;UMC;0;220;4,6153846
660;1752;2462;2462;120570,7044856757;2700;2700;188;0;420;16406;10586;5599;UMC;0;190;3,0769231
666;2893;2563;2563;119264,52188816681;2700;2700;189;0;420;16163;9930;5661;Padualaan;0;161;3,0769231
706;1949;2725;2725;128975,39772727274;2700;2700;188;0;420;16377;10604;5619;UMC;0;304;6,1538463
674;2448;2536;2536;123974,46134347274;2700;2700;190;0;420;16452;10598;5666;UMC;0;242;4,6153846
648;2250;2414;2414;118543,67807927262;2700;2700;191;0;420;16400;10266;5613;UMC;0;310;6,1538463
661;2261;2440;2440;120098,69713797522;2700;2700;191;0;420;16380;10593;5614;Vaartsche Rijn;0;0;0
709;2137;2584;2584;130766,88026495787;2700;2700;188;0;420;16236;10600;5606;UMC;0;429;6,1538463
690;2375;2735;2735;127496,53479436459;2700;2700;190;0;420;16518;10610;5585;UMC;0;226;4,6153846
697;3554;2652;2652;128609,06724817108;2700;2700;191;0;420;16647;10595;5566;Galgenwaard;0;157;3,0769231
670;2197;2431;2431;120791,90361103213;2700;2700;190;0;420;16226;10616;5658;UMC;0;150;3,0769231
658;1919;2485;2485;118657,41262683203;2700;2700;192;0;420;16420;10264;5572;Kromme Rijn;0;126;1,5384616
704;2233;2604;2604;131005,83255613747;2700;2700;189;0;420;16421;10591;5605;UMC;0;223;4,6153846
703;2605;2731;2731;128314,26841430402;2700;2700;189;0;420;16372;10606;5604;UMC;0;289;6,25
643;2243;2343;2343;114279,45156695157;2700;2700;191;0;420;16272;10608;5629;Padualaan;0;75;1,5384616
631;2373;2427;2427;113302,65586474111;2700;2700;190;0;420;16358;10593;5595;UMC;0;75;1,5384616
658;2445;2497;2497;115911,20628628062;2700;2700;189;0;420;16195;10594;5666;UMC;0;144;3,0769231
678;1924;2539;2539;123770,94312963617;2700;2700;188;0;420;16434;10600;5620;UMC;0;225;4,6875
660;1840;2479;2479;121069,95325116873;2700;2700;192;0;420;16492;10603;5617;UMC;0;92;1,5384616
696;1952;2595;2595;128454,82905982906;2700;2700;188;0;420;16368;10263;5576;Padualaan;0;97;1,5384616
652;2503;2436;2436;116806,31119250545;2700;2700;192;0;420;16413;10597;5655;Kromme Rijn;0;249;4,6153846
678;2487;2507;2507;122867,30741848212;2700;2700;190;0;420;16353;10609;5638;Padualaan;0;244;4,6153846
655;1998;2303;2303;118544,92516037065;2700;2700;190;0;420;16264;9923;5616;Kromme Rijn;0;151;3,0769231
672;2635;2457;2457;121443,25328759292;2700;2700;189;0;420;16148;10269;5588;UMC;0;75;1,5384616
683;2004;2715;2715;126377,23443746431;2700;2700;189;0;420;16368;10624;5581;UMC;0;373;7,6923075
683;1751;2711;2711;126920,61972629938;2700;2700;191;0;420;16453;10616;5612;UMC;0;150;3,0769231
735;2170;2848;2848;138132,22526680125;2700;2700;185;0;420;16362;9945;5607;UMC;0;602;9,090909
663;3196;2575;2575;119937,01147806492;2700;2755;190;0;420;16393;10624;5567;Heidelberglaan;0;446;6,1538463
658;1858;2427;2427;119376,72419916186;2700;2700;191;0;420;16312;10593;5634;UMC;0;75;1,5384616
663;1987;2473;2473;119702,22585691937;2700;2700;189;0;420;16391;10245;5581;Padualaan;0;320;4,6153846
655;2176;2528;2528;118292,94016972117;2701,3809;2729;190;0;420;16229;10588;5617;UMC;0;349;6,1538463
