average_waiting_time,longest_waiting_time,longest_queue,most_left_waiting,percentage_left_waiting,average_rtt,max_rtt,avg_tram_load,lowest_tram_load,higest_tram_load,total_passengers,average_empty_time,longest_empty_time,longest_empty_time_station,total_delay_pr,total_delay_uc,punctuality
121,403,0,0,0,2244.4211,2309,19,0,159,3463,46869,43552,Galgenwaard,151,64895,2.970297
121,351,0,0,0,2250,2326,19,0,142,3477,49556,43427,Heidelberglaan,76,67,2.0408163
116,352,0,0,0,2249.7297,2291,19,0,165,3472,49589,43410,Kromme Rijn,0,0,0
125,451,0,0,0,2242.6753,2308,19,0,224,3448,49609,43640,WKZ,390,413,5.102041
115,335,0,0,0,2249.9458,2292,19,0,146,3416,49602,43422,Heidelberglaan,0,0,0
116,361,0,0,0,2250,2250,19,0,158,3603,49621,43435,Heidelberglaan,0,0,0
116,321,0,0,0,2249.9998,2288,19,0,157,3572,49592,43425,Padualaan,0,0,0
119,396,0,0,0,2248.4055,2259,20,0,168,3522,46938,43404,UMC,0,123,2.0408163
132,535,0,0,0,2239.6316,2319,19,0,259,3477,52325,43661,WKZ,982,977,12
123,352,0,0,0,2244.6758,2267,19,0,159,3412,55018,43484,WKZ,175,167,2.0408163
114,344,0,0,0,2250.7568,2304,18,0,183,3363,46920,43389,Heidelberglaan,0,0,0
117,345,0,0,0,2248.8645,2265,19,0,134,3512,49590,43548,Kromme Rijn,0,0,0
119,372,0,0,0,2249.054,2316,19,0,157,3437,52256,43478,Galgenwaard,66,0,1.0204082
115,337,0,0,0,2250.054,2306,19,0,133,3545,49594,43430,WKZ,0,0,0
116,349,0,0,0,2249.7837,2250,19,0,155,3567,49611,43398,UMC,0,0,0
117,342,0,0,0,2247.8115,2282,18,0,194,3385,49626,43442,Heidelberglaan,0,494,4.0816326
123,443,0,0,0,2246.5132,2286,19,0,213,3468,52282,43499,Centraal Station,251,426,7.142857
122,389,0,0,0,2247.6758,2286,18,0,157,3345,52349,43516,UMC,121,141,3.0612245
117,341,0,0,0,2250.3242,2305,19,0,170,3523,49622,43459,Vaartsche Rijn,0,69,1.0204082
115,358,0,0,0,2249.3508,2262,19,0,143,3499,46905,43442,Heidelberglaan,0,60,1.0204082
115,327,0,0,0,2249.0537,2294,19,0,159,3447,49584,43485,WKZ,65,0,1.0204082
120,455,0,0,0,2246.5676,2301,19,0,173,3474,44234,43411,Vaartsche Rijn,260,196,3.0612245
130,548,0,0,0,2242.6482,2303,20,0,251,3557,46956,43598,Centraal Station,362,760,8.163265
119,403,0,0,0,2248,2250,20,0,215,3572,49630,43483,Kromme Rijn,74,122,2.0408163
118,394,0,0,0,2249.6487,2276,18,0,142,3400,49589,43418,UMC,0,0,0
116,350,0,0,0,2250,2250,19,0,162,3503,52304,43406,UMC,0,0,0
191,689,0,0,0,2142.9998,2255,20,0,387,3525,47200,43728,Heidelberglaan,44783,45425,100
115,381,0,0,0,2249.6216,2250,19,0,154,3527,52307,43429,Heidelberglaan,0,0,0
118,389,0,0,0,2248.7837,2270,19,0,171,3491,52296,43476,UMC,60,0,1.0204082
114,369,0,0,0,2250.8108,2312,19,0,144,3491,46927,43472,Kromme Rijn,139,66,3.0612245
115,362,0,0,0,2250.0002,2341,19,0,168,3396,49609,43408,UMC,151,0,2.0408163
122,423,0,0,0,2251,2305,19,0,148,3442,52261,43490,Kromme Rijn,107,184,3
122,512,0,0,0,2241.811,2283,19,0,333,3507,41570,43522,Vaartsche Rijn,270,874,8.080808
125,511,0,0,0,2245.2166,2296,19,0,265,3460,49629,43632,Vaartsche Rijn,223,434,6.122449
117,318,0,0,0,2250.0002,2282,19,0,165,3439,52301,43432,WKZ,0,0,0
118,382,0,0,0,2250.595,2309,19,0,168,3462,49622,43386,Heidelberglaan,0,162,2.0408163
115,336,0,0,0,2249.3945,2286,19,0,160,3483,52291,43413,Kromme Rijn,67,66,2
166,614,0,0,0,2202.0005,2282,19,0,335,3451,49751,43714,Centraal Station,5944,5724,41
120,369,0,0,0,2244.4207,2294,19,0,138,3495,49583,43617,Heidelberglaan,212,85,3
118,377,0,0,0,2249.1082,2289,20,0,192,3616,49615,43425,Heidelberglaan,0,181,2.020202
119,408,0,0,0,2249.9995,2268,19,0,159,3540,52363,43392,Galgenwaard,0,0,0
115,337,0,0,0,2250,2250,19,0,137,3427,52282,43424,Kromme Rijn,0,0,0
118,394,0,0,0,2250.1084,2290,19,0,153,3470,49610,43442,Heidelberglaan,0,73,1.0204082
176,861,17,17,14.028882994400234,2219.2703,2295,20,0,420,3425,47010,43905,Vaartsche Rijn,2841,3879,26.262627
118,360,0,0,0,2247.158,2261,19,0,167,3474,49595,43543,WKZ,104,157,3
116,355,0,0,0,2247.7632,2285,19,0,150,3392,49558,43428,UMC,66,0,1
116,325,0,0,0,2248.5676,2306,19,0,156,3442,49587,43397,WKZ,0,0,0
120,370,0,0,0,2248.8652,2303,19,0,223,3515,46889,43446,UMC,0,82,1.0204082
115,320,0,0,0,2250,2250,19,0,156,3488,52316,43439,Padualaan,0,0,0
122,529,0,0,0,2245.3518,2258,20,0,265,3561,44218,43574,Centraal Station,120,312,3.0612245
