average_waiting_time,longest_waiting_time,longest_queue,most_left_waiting,percentage_left_waiting,average_rtt,max_rtt,avg_tram_load,lowest_tram_load,higest_tram_load,total_passengers,average_empty_time,longest_empty_time,longest_empty_time_station,total_delay_pr,total_delay_uc,punctuality
132,424,0,0,0,2570,2570,93,0,335,23967,29664,12856,WKZ,0,0,0
132,387,0,0,0,2570,2599,93,0,366,23981,29664,12935,Padualaan,0,122,0.5494506
132,408,0,0,0,2570.0002,2573,94,0,332,24168,30438,12880,WKZ,0,247,1.0989012
132,452,0,0,0,2570,2570,93,0,348,24058,29661,12793,Kromme Rijn,0,64,0.5494506
137,795,0,0,0,2569.8047,2923,94,0,393,23958,30480,12910,WKZ,34857,1397,4.9180326
134,422,0,0,0,2569.4321,2570,93,0,324,23888,30446,12854,WKZ,0,69,0.5494506
133,399,0,0,0,2569.914,2570,92,0,342,23790,30462,12919,WKZ,0,0,0
136,479,0,0,0,2570.284,2595,93,0,370,23938,30458,12860,WKZ,0,236,1.0989012
133,450,0,0,0,2570.1853,2585,93,0,302,24023,29678,12825,Kromme Rijn,0,0,0
132,432,0,0,0,2570,2570,93,0,356,23929,28869,12850,Padualaan,0,0,0
134,413,0,0,0,2570,2600,92,0,374,23966,30439,12936,Vaartsche Rijn,0,0,0
132,399,0,0,0,2570,2609,93,0,390,24015,29687,12893,WKZ,0,82,0.5494506
135,418,0,0,0,2570,2570,95,0,358,24131,28865,12911,Padualaan,0,180,0.5494506
131,388,0,0,0,2570.0002,2595,93,0,411,23913,30431,12915,WKZ,0,63,0.5494506
132,394,0,0,0,2570,2608,94,0,357,24137,29623,12886,WKZ,0,161,1.0989012
133,431,0,0,0,2568.9392,2586,92,0,361,23901,30441,12863,UMC,34246,0,0.5464481
133,399,0,0,0,2570,2570,92,0,325,23882,30429,12866,Padualaan,0,83,0.5494506
132,385,0,0,0,2570,2595,92,0,361,23686,29647,12856,Padualaan,0,62,0.5494506
132,416,0,0,0,2570.5056,2619,93,0,320,23854,29665,12866,Padualaan,0,79,0.5494506
133,474,0,0,0,2570,2621,94,0,329,24130,30454,12867,Kromme Rijn,0,267,1.0989012
132,403,0,0,0,2570,2581,92,0,349,23884,30444,12813,Padualaan,0,289,1.6483517
132,393,0,0,0,2569.4197,2587,93,0,346,23917,30458,12870,Kromme Rijn,0,0,0
133,393,0,0,0,2570.1108,2611,92,0,327,23743,30466,12945,WKZ,0,169,1.0989012
135,489,0,0,0,2570.0005,2615,93,0,334,23892,30446,12868,WKZ,63,393,1.6483517
132,400,0,0,0,2570,2570,92,0,291,23896,30442,12851,Padualaan,0,0,0
135,576,0,0,0,2570.0002,2637,94,0,341,24218,29673,12879,WKZ,67,373,1.6483517
132,417,0,0,0,2569.9998,2627,94,0,331,24009,30456,12915,WKZ,0,119,0.5494506
133,428,0,0,0,2570,2570,94,0,377,23892,29639,12862,WKZ,0,117,0.5494506
132,408,0,0,0,2570,2574,94,0,408,24325,30452,12849,WKZ,0,0,0
134,491,0,0,0,2569.7527,2586,93,0,340,23892,31257,12823,Padualaan,0,184,0.5494506
133,416,0,0,0,2570,2617,93,0,335,24095,30478,12835,WKZ,0,104,0.5494506
133,434,0,0,0,2570.0002,2596,93,0,386,24083,30443,12853,Padualaan,0,217,1.0989012
133,474,0,0,0,2570,2575,93,0,379,23905,30452,12839,Kromme Rijn,0,110,0.5494506
132,465,0,0,0,2569.5803,2591,93,0,329,23988,29651,13008,Padualaan,0,0,0
133,476,0,0,0,2570.0002,2573,92,0,340,23933,29683,12867,Padualaan,0,0,0
132,463,0,0,0,2570,2604,95,0,369,24300,30447,12799,UMC,0,100,0.5494506
134,394,0,0,0,2569.9995,2621,93,0,354,24019,30441,12896,Heidelberglaan,0,0,0
134,390,0,0,0,2570,2587,93,0,332,24180,29633,12869,Kromme Rijn,0,77,0.5494506
132,420,0,0,0,2570,2605,93,0,354,23969,30396,12814,Padualaan,0,169,0.5494506
133,407,0,0,0,2570,2617,94,0,310,24375,29660,12907,Padualaan,0,77,0.5494506
132,396,0,0,0,2570.2964,2594,94,0,413,24053,29663,12889,UMC,0,0,0
132,415,0,0,0,2570.0005,2600,92,0,324,23780,28075,12888,Padualaan,0,69,0.5494506
133,499,0,0,0,2570.0002,2599,92,0,329,23925,30421,12847,Kromme Rijn,0,113,0.5494506
134,472,0,0,0,2569.8518,2628,92,0,333,23974,29673,12859,WKZ,0,112,0.5494506
134,535,0,0,0,2569.7773,2602,93,0,414,24165,31244,12938,WKZ,0,0,0
133,430,0,0,0,2570.0864,2577,94,0,331,24209,30441,12850,Kromme Rijn,0,68,0.5494506
136,421,0,0,0,2570,2618,92,0,408,23804,30411,12872,Kromme Rijn,0,148,0.5494506
133,420,0,0,0,2569.914,2586,93,0,368,24081,28839,12913,Galgenwaard,0,237,1.0989012
135,436,0,0,0,2570.0002,2613,92,0,347,23744,29641,12924,Heidelberglaan,0,63,0.5494506
133,498,0,0,0,2570,2621,93,0,328,24154,29685,12805,UMC,0,253,0.5494506
