average_waiting_time,longest_waiting_time,longest_queue,most_left_waiting,percentage_left_waiting,average_rtt,max_rtt,avg_tram_load,lowest_tram_load,higest_tram_load,total_passengers,average_empty_time,longest_empty_time,longest_empty_time_station,total_delay_pr,total_delay_uc,punctuality
2119,25921,33012,33012,252205.2173313729,2494.5918,2859,304,29,420,137565,30023,12878,WKZ,12396,20061,65.21739
2219,26883,34527,34527,267285.6190107664,2471.6702,2740,305,31,420,137552,29204,12853,Heidelberglaan,4208,10114,44.976078
2153,26925,34679,34679,259333.94948545762,2472.7346,2700,303,22,420,137863,26802,12806,WKZ,3586,9994,44.976078
2241,26085,34537,34537,268505.8396090831,2476.8923,2656,304,32,420,137712,28392,12872,Galgenwaard,2200,6696,30.288462
2266,26412,34836,34836,276352.2330432778,2464.1616,2750,306,20,420,137948,28468,13023,Galgenwaard,12477,19336,68.75
2209,24677,35333,35333,263737.94102311565,2508.6675,2845,304,30,420,137227,29332,12838,Kromme Rijn,20246,28461,74.39613
2066,23409,34081,34081,255541.64316142586,2506.3262,2879,305,27,420,137573,26833,12772,UMC,9826,17362,56.31068
2189,26361,33946,33946,264001.68836219714,2474.0542,2645,302,28,420,137862,29080,12899,Padualaan,1841,6736,32.692307
2337,25898,34552,34552,279789.09534171043,2473.9358,2774,305,28,420,137762,29281,13262,Padualaan,8864,50268,61.42857
2225,25299,34783,34783,265076.5483168063,2509.8328,2918,305,26,420,137517,27693,12868,Galgenwaard,10464,19758,55.665024
2113,26919,34378,34378,257081.02261101466,2464.756,2703,303,25,420,138239,29235,12924,Vaartsche Rijn,4613,10505,43.333332
2118,25533,33991,33991,247904.3945233383,2496.2717,2847,305,31,420,137414,28502,12831,Heidelberglaan,14093,23716,76.92308
2135,25583,34445,34445,254271.46045042574,2468.2122,2640,302,26,420,137562,29932,13038,Vaartsche Rijn,2073,7143,33.014355
2160,27358,34409,34409,262324.8098990737,2478.6587,2818,304,26,420,137605,29249,12933,Galgenwaard,7726,14415,58.653847
2211,26370,34620,34620,264313.1780991451,2480.2903,2781,302,31,420,137760,29206,12860,Padualaan,4762,12687,47.115383
2118,26960,34363,34363,251556.32760074383,2499.936,2876,305,21,420,138027,29297,12812,Heidelberglaan,16797,23941,73.30097
2001,26664,33191,33191,239210.91406753153,2500.2068,3005,302,32,420,138353,29990,12908,Vaartsche Rijn,4980,12483,44.390244
2254,26042,32888,32888,261594.48471082398,2483.5427,2903,304,30,420,137213,28562,12834,Padualaan,12284,20548,72.46377
2096,26626,34910,34910,255907.081542605,2477.6133,2643,304,29,420,137833,29933,12817,Kromme Rijn,1718,7501,31.73077
2220,25887,34483,34483,266530.9407217973,2471.4895,2637,302,31,420,137390,29136,12845,Galgenwaard,2152,7393,33.333332
2139,25993,34964,34964,257620.40061878657,2476.709,2681,302,32,420,138191,27587,12833,Kromme Rijn,2228,8144,34.134617
2191,26743,34504,34504,261805.26807802366,2473.3513,2812,305,25,420,138140,29263,12835,Galgenwaard,6086,12862,50.239235
2236,26158,33350,33350,260158.92333088772,2465.4517,2804,305,26,420,137839,30132,12901,P+R De Uithof,17233,25606,80.28846
2088,26183,34562,34562,252817.1488762437,2472.5742,2724,303,27,420,138216,29935,12860,WKZ,2648,9923,37.5
2142,25872,34432,34432,253208.95943522314,2480.7122,2851,302,28,420,137867,28427,12803,Padualaan,4506,10273,43.333332
2283,26412,34265,34265,276916.98879472155,2458.737,2870,304,24,420,137732,30156,13016,UMC,10807,18521,65.87678
2251,26312,34092,34092,274610.68103081157,2475.377,2788,304,29,420,137707,29330,12815,Galgenwaard,9082,16609,63.768116
2110,24513,34102,34102,248302.2652369679,2501.4456,2834,306,24,420,137406,28539,12858,WKZ,15145,23874,76.21359
2141,26912,34687,34687,261112.68558777546,2473.4473,2762,304,28,420,138291,29956,12823,WKZ,4443,10358,46.411484
2100,26252,34788,34788,255789.25432802216,2487.7495,2735,303,28,420,137959,27587,12900,Padualaan,3135,9566,39.130436
2043,26674,34601,34601,245456.7915893345,2486.5488,2793,303,24,420,137903,30740,12818,Galgenwaard,3656,10178,42.028984
2071,26774,35693,35693,251631.1448862979,2522.2307,3131,305,30,420,137986,30165,13154,Kromme Rijn,29425,39456,80.097084
2122,26134,34140,34140,256362.05195808806,2468.0425,2680,302,28,420,137655,30806,12801,Galgenwaard,2912,7497,36.057693
