average_waiting_time,longest_waiting_time,longest_queue,most_left_waiting,percentage_left_waiting,average_rtt,max_rtt,avg_tram_load,lowest_tram_load,higest_tram_load,total_passengers,average_empty_time,longest_empty_time,longest_empty_time_station,total_delay_pr,total_delay_uc,punctuality
92,331,0,0,0,2880,2880,68,0,292,43025,37443,3803,Galgenwaard,302580,300352,100
93,402,0,0,0,2880,2880,69,0,317,43135,37007,3804,Heidelberglaan,302580,301636,100
92,298,0,0,0,2880,2880,70,0,321,43370,36794,3797,Heidelberglaan,302580,297973,100
93,333,0,0,0,2880,2880,69,0,314,43320,37148,3746,Kromme Rijn,302580,300604,100
91,286,0,0,0,2880,2880,68,0,299,43014,37211,3766,Heidelberglaan,302580,302611,100
92,315,0,0,0,2880,2880,69,0,323,42948,37412,3800,Galgenwaard,302580,300644,100
92,292,0,0,0,2880,2880,68,0,329,43091,36790,3785,Heidelberglaan,302580,299102,100
92,338,0,0,0,2880,2880,69,0,332,43390,37187,3798,Heidelberglaan,302580,301051,100
91,313,0,0,0,2880,2880,69,0,332,43007,37190,3737,UMC,302580,296099,100
96,449,0,0,0,2906.6577,3266,71,0,417,42983,37020,3766,Kromme Rijn,302737,307933,100
91,348,0,0,0,2880,2880,69,0,309,43011,36780,3788,WKZ,302580,297325,100
93,366,0,0,0,2880,2880,69,0,322,43087,37454,3799,Heidelberglaan,302580,304114,100
91,377,0,0,0,2880,2880,69,0,314,43071,36971,3736,Padualaan,302580,298063,100
93,327,0,0,0,2880,2880,68,0,385,43128,37476,3805,Heidelberglaan,302580,297415,100
91,317,0,0,0,2880,2880,69,0,353,43365,36980,3813,Heidelberglaan,302580,301546,100
97,349,0,0,0,2880,2880,69,0,322,43155,37417,3806,Galgenwaard,302580,304920,100
92,310,0,0,0,2880,2880,69,0,359,43174,37217,3823,Heidelberglaan,302580,303072,100
93,321,0,0,0,2880,2880,69,0,356,43275,37146,3753,Padualaan,302580,298592,100
93,477,0,0,0,2881.4285,2906,70,0,346,43128,36776,3758,Kromme Rijn,300575,302004,100
92,317,0,0,0,2880,2880,68,0,331,42936,37009,3805,Padualaan,302580,299469,100
93,303,0,0,0,2880,2880,69,0,368,43694,37381,3784,Heidelberglaan,302580,301760,100
91,304,0,0,0,2880,2880,68,0,349,42948,37241,3806,Kromme Rijn,302580,300381,100
93,329,0,0,0,2880,2880,69,0,378,43055,36783,3729,Kromme Rijn,302580,301407,100
107,478,0,0,0,2941.6365,3414,73,0,331,43500,37520,3754,Kromme Rijn,392212,412584,100
93,400,0,0,0,2881.6,2907,69,0,373,42959,37397,3826,Heidelberglaan,303372,303474,100
93,325,0,0,0,2880,2880,69,0,385,43196,37250,3838,Kromme Rijn,302580,299659,100
104,353,0,0,0,2880,2880,68,0,381,43121,36921,3790,Galgenwaard,302580,309554,100
93,308,0,0,0,2880,2880,68,0,380,42972,36766,3799,Galgenwaard,302580,296015,100
92,326,0,0,0,2880,2880,70,0,293,43063,37039,3771,Kromme Rijn,302580,302061,100
94,375,0,0,0,2880,2880,68,0,391,42830,36961,3891,Galgenwaard,302580,301013,100
92,324,0,0,0,2880,2880,69,0,400,43525,37181,3768,Kromme Rijn,302580,303228,100
107,498,19,19,4.651323201434714,2995.2,3471,74,0,420,43507,37644,3813,Heidelberglaan,333189,335756,100
93,298,0,0,0,2880,2880,69,0,348,43046,36978,3747,Vaartsche Rijn,302580,298157,100
95,333,0,0,0,2880,2880,69,0,389,43299,37169,3750,Padualaan,302580,303826,100
92,316,0,0,0,2880,2880,69,0,325,43548,37025,3783,Kromme Rijn,302580,299949,100
92,325,0,0,0,2880,2880,69,0,358,43224,37220,3806,Heidelberglaan,302580,300189,100
92,298,0,0,0,2880,2880,68,0,297,42692,36811,3821,WKZ,302580,297461,100
92,329,0,0,0,2880,2880,68,0,312,43010,36998,3784,Galgenwaard,302580,297065,100
92,324,0,0,0,2880,2880,69,0,347,43251,37436,3849,Heidelberglaan,302580,293037,100
92,327,0,0,0,2880,2880,69,0,310,42875,37199,3784,Padualaan,302580,299192,100
91,307,0,0,0,2880,2880,68,0,287,42708,37210,3813,Kromme Rijn,302580,299602,100
94,340,0,0,0,2880,2880,70,0,305,43340,37193,3799,Heidelberglaan,302580,301129,100
93,329,0,0,0,2880,2880,69,0,362,42820,37179,3768,Kromme Rijn,302580,302867,100
93,318,0,0,0,2880,2880,68,0,344,42884,36743,3753,Vaartsche Rijn,302580,299058,100
91,326,0,0,0,2880,2880,69,0,294,43294,37462,3774,Kromme Rijn,302580,295253,100
92,319,0,0,0,2880,2880,68,0,331,42932,37443,3784,Heidelberglaan,302580,302592,100
92,298,0,0,0,2880,2880,69,0,325,43054,36955,3738,UMC,302580,299225,100
96,290,0,0,0,2880,2880,69,0,395,43293,37360,3815,Heidelberglaan,302580,305444,100
94,358,0,0,0,2880.3215,2889,70,0,331,43101,37236,3845,Galgenwaard,300342,312473,100
93,338,0,0,0,2880,2880,69,0,345,43303,37172,3777,Heidelberglaan,302580,300640,100
