stop,direction,time,average,sd,dist,param
Heidelberglaan,0,1200,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
Heidelberglaan,0,1215,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
Heidelberglaan,0,1230,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
Heidelberglaan,0,1245,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
Heidelberglaan,0,1260,0.05,0.19611613513818404,gamma,(0.26757952426212767  -4.6224480116085815e-31  0.5716814201146585)
Heidelberglaan,0,1275,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
Heidelberglaan,0,1290,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
Heidelberglaan,1,375,0.3333333333333333,0.6859943405700354,gamma,(0.5765747518809886  -1.0315145483790045e-27  0.235015898489228)
Heidelberglaan,1,390,8.0,2.3674969940438624,norm,(4.571428571428571  2.333430513039476)
Heidelberglaan,1,405,6.7,3.2129944496269105,lognorm,(0.10838877586824186  -23.64830273745892  28.838530802923735)
Heidelberglaan,1,420,9.4,2.981027477681988,gamma,(0.9188722117969308  -1.0074068629678224e-21  3.3987224359065396)
Heidelberglaan,1,435,21.6,7.276221287620045,lognorm,(6.753668396022927  -4.856379384523217e-20  3.1479983764281387)
Heidelberglaan,1,450,57.7,15.575692040473918,lognorm,(8.468954402576742  -1.4916996964253986e-25  3.7581224798737605)
Heidelberglaan,1,465,76.35,15.304987988974618,norm,(23.136363636363637  15.188598558484548)
Heidelberglaan,1,480,92.95,19.326777428054825,norm,(29.983870967741936  19.17028272755304)
Heidelberglaan,1,495,139.2,34.12297228923152,expon,(0.0  40.34782608695652)
Heidelberglaan,1,510,169.7,35.464256471438645,norm,(62.851851851851855  35.13434924074509)
Heidelberglaan,1,525,192.7,35.16688920211519,norm,(59.292307692307695  34.89532614809967)
Heidelberglaan,1,540,135.61904761904762,28.685532798770605,lognorm,(0.29061991135021503  -55.55388536821157  94.0434525886285)
Heidelberglaan,1,555,88.80952380952381,21.32188068988864,pareto,(121868146.63897943  -3745728641.0510063  3745728641.0510063)
Heidelberglaan,1,570,131.71428571428572,21.601353855883808,norm,(33.73170731707317  21.469234244292178)
Heidelberglaan,1,585,104.61904761904762,25.65268254521545,gamma,(0.7081317357706414  -1.0824923296068778e-26  37.28175259540144)
Heidelberglaan,1,600,72.33333333333333,15.994038342800561,norm,(22.33823529411765  15.875999546223712)
Heidelberglaan,1,615,149.95238095238096,32.238659538373625,gamma,(0.7476856686389501  -3.5880420705142462e-25  53.24317446239354)
Heidelberglaan,1,630,138.9047619047619,31.84952480063618,lognorm,(9.043194713161087  -6.982666667101993e-22  3.7429618379339176)
Heidelberglaan,1,645,124.38095238095238,26.008743306246487,expon,(0.0  36.7887323943662)
Heidelberglaan,1,660,83.2,17.428990130518088,norm,(25.21212121212121  17.296448358073096)
Heidelberglaan,1,675,57.80952380952381,14.601716447394915,lognorm,(6.13809231218756  -1.3033764071059978e-16  2.988479171792389)
Heidelberglaan,1,690,60.95238095238095,15.029756608959762,lognorm,(7.822753281521267  -4.910472397457652e-25  3.661168362357688)
Heidelberglaan,1,705,62.23809523809524,14.524054571274453,lognorm,(11.780429259213935  -2.716175897559761e-25  5.11896820625749)
Heidelberglaan,1,720,61.476190476190474,11.621789706230928,norm,(18.183098591549296  11.53965588760619)
Heidelberglaan,1,735,77.85714285714286,17.428656074784453,lognorm,(10.165840541891512  -1.6902780279638919e-21  4.4767201496122)
Heidelberglaan,1,750,94.33333333333333,20.45450944221687,lognorm,(8.259259668848848  -1.2592086461192389e-25  3.692167148301478)
Heidelberglaan,1,765,109.76190476190476,24.694533624960794,gamma,(0.955172603610394  -2.2152024207182765e-17  35.074139330877045)
Heidelberglaan,1,780,123.38095238095238,25.48995209210205,gamma,(1.646393248317259  -1.6309983456654709  21.973863616511487)
Heidelberglaan,1,795,61.904761904761905,12.478491719708419,gamma,(0.45772232489924713  -1.8741730775680192e-18  29.34113716767223)
Heidelberglaan,1,810,47.333333333333336,11.092594560450163,gamma,(0.8070480933428581  -7.376727939691918e-22  17.1459781860893)
Heidelberglaan,1,825,42.476190476190474,9.588243552101417,lognorm,(8.347065488112559  -5.006060382761581e-26  3.703952411134953)
Heidelberglaan,1,840,34.35,8.64859996303849,lognorm,(11.114081466907447  -1.9736988761218082e-26  4.693371020568172)
Heidelberglaan,1,855,37.0,8.859291734890444,lognorm,(8.702837284770101  -1.8326967130117734e-28  3.90421599487281)
Heidelberglaan,1,870,40.80952380952381,10.757461747885968,pareto,(56763670.23478615  -666455243.3277525  666455243.3277525)
Heidelberglaan,1,885,46.095238095238095,10.673360994580616,norm,(15.125  10.589647066828999)
Heidelberglaan,1,900,53.57142857142857,13.44356232055141,expon,(0.0  16.544117647058822)
