average_waiting_time,longest_waiting_time,longest_queue,most_left_waiting,percentage_left_waiting,average_rtt,max_rtt,avg_tram_load,lowest_tram_load,higest_tram_load,total_passengers,average_empty_time,longest_empty_time,longest_empty_time_station,total_delay_pr,total_delay_uc,punctuality
82,300,0,0,0,2398.6292,2444,12,0,137,3419,48781,43406,UMC,0,327,2.7210884
79,271,0,0,0,2402.7637,2555,12,0,112,3345,48764,43338,Galgenwaard,155,77,1.3422819
80,254,0,0,0,2400.0002,2414,12,0,104,3421,43375,43365,Heidelberglaan,0,62,0.67114097
80,323,0,0,0,2400.9094,2470,12,0,108,3361,48802,43352,UMC,70,71,1.3422819
81,280,0,0,0,2399.7817,2441,12,0,124,3505,46106,43404,Heidelberglaan,0,404,3.3333333
82,263,0,0,0,2402.873,2523,13,0,105,3489,46077,43361,UMC,123,124,2.0134227
80,277,0,0,0,2401.8,2499,12,0,111,3445,46097,43332,Galgenwaard,99,147,2.0134227
81,288,0,0,0,2402.0906,2515,12,0,121,3581,51468,43331,Padualaan,115,300,3.3557048
79,286,0,0,0,2400.0364,2424,12,0,116,3552,37964,43314,Galgenwaard,0,91,0.67114097
81,273,0,0,0,2402.6545,2521,13,0,109,3500,48745,43383,Vaartsche Rijn,121,106,1.3333334
82,266,0,0,0,2400.5627,2496,12,0,94,3438,46099,43415,Heidelberglaan,96,218,2.6845639
82,318,0,0,0,2402.3274,2528,12,0,120,3567,48821,43380,WKZ,128,150,2.0134227
79,244,0,0,0,2402.7815,2534,12,0,108,3422,48806,43350,Galgenwaard,134,337,4.0268455
82,332,0,0,0,2401.255,2537,12,0,133,3443,43403,43361,Kromme Rijn,137,128,1.3422819
82,318,0,0,0,2401.9094,2505,12,0,108,3541,43365,43360,Heidelberglaan,105,163,2.0134227
80,269,0,0,0,2401.873,2503,12,0,107,3427,48773,43355,Galgenwaard,103,167,2.0134227
83,323,0,0,0,2402.2183,2551,12,0,111,3469,46075,43395,Kromme Rijn,151,91,1.3422819
80,319,0,0,0,2401.0361,2466,12,0,99,3514,48811,43366,Vaartsche Rijn,66,65057,3.3333333
81,299,0,0,0,2401.9631,2554,12,0,125,3432,46084,43364,WKZ,154,300,2.6845639
82,278,0,0,0,2401.491,2524,12,0,116,3517,48792,43377,Padualaan,124,229,2.6845639
80,303,0,0,0,2399.455,2400,12,0,106,3439,43351,43318,UMC,0,63,0.67114097
82,281,0,0,0,2401.8357,2567,12,0,101,3426,46075,43323,Padualaan,167,137,2.0134227
82,268,0,0,0,2399.759,2418,12,0,106,3492,40725,43341,Galgenwaard,0,159,1.3513514
80,278,0,0,0,2399.9636,2400,12,0,118,3415,43415,43355,Galgenwaard,0,0,0
81,303,0,0,0,2402.6357,2533,12,0,121,3417,48768,43403,Heidelberglaan,133,213,2.6845639
80,272,0,0,0,2399.9456,2457,12,0,109,3514,48795,43379,Heidelberglaan,0,288,2.6845639
81,274,0,0,0,2401.8728,2562,12,0,114,3538,43382,43329,Kromme Rijn,162,277,2.6845639
81,294,0,0,0,2401.6003,2482,12,0,114,3425,48778,43380,Kromme Rijn,82,60,1.3422819
82,297,0,0,0,2402.3455,2494,12,0,96,3457,46077,43375,Kromme Rijn,94,0,0.67114097
80,284,0,0,0,2401.4902,2483,12,0,126,3552,46098,43319,UMC,83,410,4.0268455
80,271,0,0,0,2402.6367,2545,12,0,159,3525,37981,43384,Galgenwaard,145,66,1.3422819
83,295,0,0,0,2401.7275,2506,12,0,121,3579,43405,43339,UMC,106,213,2.6845639
81,362,0,0,0,2402.218,2528,12,0,116,3544,43401,43369,UMC,128,315,3.3557048
80,334,0,0,0,2402.1816,2520,12,0,132,3488,48689,43354,Kromme Rijn,120,352,3.3557048
81,336,0,0,0,2401.8,2548,12,0,123,3497,48756,43411,Vaartsche Rijn,148,528,4.6666665
82,270,0,0,0,2400.6367,2480,12,0,105,3453,43393,43358,Kromme Rijn,80,143,2.0134227
79,285,0,0,0,2401.3457,2493,12,0,114,3486,48778,43352,Padualaan,93,0,0.67114097
81,337,0,0,0,2403.8176,2594,12,0,123,3474,48805,43396,Vaartsche Rijn,194,401,3.3557048
85,354,0,0,0,2401.9092,2553,12,0,111,3455,46110,43443,Heidelberglaan,153,351,2.6845639
81,303,0,0,0,2398.8364,2417,12,0,126,3514,43397,43429,Kromme Rijn,0,290,2.6666667
80,248,0,0,0,2401.4539,2476,12,0,109,3499,46053,43359,UMC,76,133,2.0134227
83,325,0,0,0,2402,2506,12,0,110,3470,46051,43359,Heidelberglaan,106,211,2.0134227
81,296,0,0,0,2400.3096,2428,12,0,123,3449,43403,43415,Kromme Rijn,0,228,2
80,358,0,0,0,2402.3276,2545,12,0,131,3473,43403,43378,Heidelberglaan,145,222,2.0134227
82,293,0,0,0,2400.9639,2524,12,0,117,3432,46097,43389,Heidelberglaan,124,65119,4
79,294,0,0,0,2402.3633,2490,12,0,88,3483,46112,43339,Galgenwaard,90,0,0.67114097
81,262,0,0,0,2401.2546,2478,12,0,102,3465,40666,43366,Heidelberglaan,78,60,1.3422819
80,285,0,0,0,2399.2363,2403,11,0,126,3387,48786,43357,Heidelberglaan,0,60,0.67114097
80,246,0,0,0,2401.1636,2476,12,0,101,3549,48805,43374,Padualaan,76,139,2.0134227
80,255,0,0,0,2399.7634,2478,12,0,104,3494,43406,43341,Vaartsche Rijn,78,0,0.67114097
