average_waiting_time;longest_waiting_time;longest_queue;most_left_waiting;percentage_left_waiting;average_rtt;max_rtt;avg_tram_load;lowest_tram_load;highest_tram_load;total_passengers;average_empty_time;longest_empty_time;longest_empty_time_station;total_delay_pr;total_delay_uc;punctuality
134;1340;471;471;2629,1567328918322;2700;2739;106;0;420;56625;37822;3801;UMC;0;2860;8,571428
128;548;375;375;1773,839581181167;2700;2700;107;0;420;57101;38061;3812;UMC;0;2667;7,7922077
125;979;288;288;1362,9883806648645;2700;2723;107;0;420;56969;38086;3851;UMC;0;2639;7,012987
132;1810;439;439;2402,7635297812208;2700,0005;2729;107;0;420;57321;37656;3829;Kromme Rijn;0;3594;9,350649
126;914;266;266;1369,3744937132392;2700;2700;106;0;420;56822;37580;3766;Padualaan;0;2617;7,5324674
131;1671;373;373;1961,1033875934886;2700;2775;106;0;420;56833;38089;3796;UMC;75;2666;7,7922077
132;1883;563;563;2670,4047976012;2700,0002;2774;106;0;420;56675;38097;3812;UMC;74;3137;9,87013
129;1511;452;452;1975,1747333018025;2700;2709;106;0;420;57087;38096;3823;UMC;0;2507;7,012987
133;1127;544;544;2638,446302431158;2699,9995;2748;107;0;420;57056;38110;3808;Kromme Rijn;0;3480;9,87013
125;609;433;433;1355,1737424688245;2700;2700;107;0;420;57103;38061;3826;UMC;0;2247;6,4935064
124;1675;267;267;1087,9865381565733;2700;2700;106;0;420;56771;37832;3803;UMC;0;2757;8,571428
127;437;309;309;1578,8146191105238;2700;2700;106;0;420;56791;38097;3816;Vaartsche Rijn;0;2240;7,012987
130;2324;532;532;2284,6779423363423;2700,0002;2701;107;0;420;57081;38063;3817;UMC;0;2580;7,5324674
128;1081;419;419;1773,9179078386126;2699,9993;2786;107;0;420;57202;38100;3782;UMC;86;3300;9,350649
123;461;235;235;1010,6478375992939;2700,0002;2797;106;0;420;56629;37834;3773;UMC;97;3408;9,350649
125;1064;314;314;1328,746846973094;2699,9998;2775;107;0;420;57122;38032;3828;UMC;75;3415;9,350649
126;998;398;398;1520,572893643356;2700;2700;106;0;420;56572;37864;3830;UMC;0;2829;7,7922077
128;1439;325;325;1856,7305670428261;2700;2775;106;0;420;57064;38088;3928;Padualaan;75;2858;8,571428
127;1276;371;371;1734,8269625831826;2700,0002;2752;107;0;420;56953;37895;3778;Vaartsche Rijn;0;3451;9,090909
131;1208;442;442;2234,466607020683;2699,9993;2741;107;0;420;57025;38101;3797;UMC;0;3860;10,12987
126;529;328;328;1434,8092895307623;2700,0002;2709;106;0;420;56725;37896;3873;UMC;0;3074;8,831169
132;881;566;566;2468,752855987908;2700,0005;2733;106;0;420;56913;37842;3800;Vaartsche Rijn;0;3385;9,61039
133;803;437;437;2823,0815043178195;2700;2753;107;0;420;57069;38052;3871;UMC;0;3000;8,051948
126;561;427;427;1512,1371565788545;2700;2701;106;0;420;56659;37868;3873;UMC;0;2699;8,051948
127;2075;341;341;1543,949055683323;2700;2726;108;0;420;57407;37843;3784;Padualaan;0;2774;7,2727275
132;1200;480;480;2604,3327525825807;2700;2700;107;0;420;56858;37860;3798;UMC;0;3069;8,311688
126;743;325;325;1443,5376054317012;2700;2700;107;0;420;57164;38068;3793;UMC;0;3182;8,831169
126;1186;317;317;1540,1511440766915;2700;2759;107;0;420;57171;38082;3803;UMC;0;3151;9,350649
129;1242;320;320;1978,8810871235937;2700,0002;2724;107;0;420;57255;37893;3889;Kromme Rijn;0;2593;7,5324674
135;763;833;833;3068,1117853832566;2700;2783;107;0;420;57173;37870;3812;UMC;158;4255;10,909091
123;524;284;284;1197,1096938324824;2700;2700;106;0;420;56604;37826;3791;Kromme Rijn;0;2371;7,5324674
128;862;476;476;2128,1588701319233;2700;2700;106;0;420;56936;37782;3846;Kromme Rijn;0;2520;7,2727275
126;965;271;271;1188,1751850361325;2700;2775;107;0;420;57155;38124;3800;UMC;75;4000;10,38961
128;2249;331;331;1810,0608051439754;2700;2775;107;0;420;57269;38096;3801;UMC;75;2171;6,233766
128;1065;367;367;2084,931650893796;2700;2700;107;0;420;57062;38103;3778;Vaartsche Rijn;0;3046;8,311688
132;1038;513;513;2450,3086365474915;2699,9998;2793;107;0;420;56844;38056;3825;UMC;168;4688;11,688312
128;678;463;463;1755,0197559048204;2700,0002;2720;107;0;420;56930;38083;3792;UMC;0;2929;8,311688
126;849;337;337;1436,452403193683;2700,0002;2732;106;0;420;56727;38058;3776;Heidelberglaan;0;3143;8,831169
131;1967;526;526;2345,077383046078;2700,077;2714;107;0;420;56857;37854;3775;Kromme Rijn;0;3150;8,831169
127;917;381;381;1518,2941773747418;2700;2700;107;0;420;57122;37872;3832;UMC;0;2365;6,4935064
132;967;402;402;2276,5693482256465;2700;2700;106;0;420;56585;38161;3790;UMC;0;3253;9,350649
131;1139;491;491;2585,9725816604882;2700;2700;107;0;420;57192;38057;3798;Kromme Rijn;0;2182;6,233766
129;1504;460;460;2052,9947250498385;2699,9998;2703;106;0;420;56693;37905;3776;Padualaan;0;2542;7,2727275
129;1507;387;387;1877,667506826297;2700,0002;2798;107;0;420;57176;38080;3814;UMC;173;3350;8,571428
125;670;313;313;1419,3884432455454;2699,9995;2735;105;0;420;56360;38110;3825;UMC;0;2730;8,311688
132;820;413;413;2256,647510929347;2700,1597;2833;107;0;420;56731;38051;3826;UMC;218;4109;10,12987
125;1369;274;274;1144,6556488374958;2700;2703;106;0;420;56826;38044;3788;UMC;0;3057;8,571428
127;1128;363;363;1678,3872785545732;2700,01;2729;107;0;420;56803;37852;3825;UMC;0;3134;8,311688
128;1346;413;413;1808,473568204877;2699,9988;2712;107;0;420;57160;37813;3885;Padualaan;0;3194;8,831169
126;2068;312;312;1419,0937257939584;2700;2700;106;0;420;56828;38130;3806;UMC;0;2556;7,5324674
