average_waiting_time;longest_waiting_time;longest_queue;most_left_waiting;percentage_left_waiting;average_rtt;max_rtt;avg_tram_load;lowest_tram_load;highest_tram_load;total_passengers;average_empty_time;longest_empty_time;longest_empty_time_station;total_delay_pr;total_delay_uc;punctuality
225;5605;1848;1848;19405,683880210112;2700,0828;2715;138;0;420;73332;37800;3780;Padualaan;0;3897;11,688312
213;5405;1613;1613;15938,523550353972;2699,9995;2757;139;0;420;73339;37822;3813;UMC;0;5866;12,987013
205;4395;1643;1643;15495,031819299158;2699,9998;2712;137;0;420;73284;37821;3806;UMC;0;3177;8,831169
233;5850;1882;1882;19421,617109782295;2700;2713;137;0;420;73147;38003;3809;Kromme Rijn;0;3970;10,909091
205;4204;1596;1596;15574,005868802107;2700;2706;137;0;420;72926;38106;3892;Kromme Rijn;0;3676;10,909091
212;4255;1748;1748;16945,8282686188;2700,0825;2742;137;0;420;73206;38010;3830;UMC;0;4355;11,948052
224;6316;1772;1772;18537,66439723293;2700;2746;137;0;420;73145;37361;3878;Vaartsche Rijn;0;3931;10,38961
197;3768;1488;1488;14189,313447553308;2700,0005;2756;137;0;420;73073;37805;3852;Kromme Rijn;0;4051;11,428572
204;6525;1463;1463;14138,801404007158;2699,9998;2711;137;0;420;73244;37782;3841;Kromme Rijn;0;4974;13,506494
199;5159;1414;1414;13570,490233626964;2700;2716;138;0;420;73128;37795;3779;UMC;0;4374;11,688312
205;4194;1626;1626;15058,676266505448;2700,0002;2753;137;0;420;72816;37804;3861;Padualaan;0;4042;9,87013
208;5472;1594;1594;15862,1453268207;2700;2700;137;0;420;72900;37981;3811;UMC;0;3393;9,87013
215;4804;1638;1638;16942,129892612727;2700,1272;2721;139;0;420;73920;37808;3810;UMC;0;4327;11,948052
219;5856;1652;1652;17479,54709184575;2699,9998;2733;139;0;420;73579;38005;3823;UMC;0;4348;10,909091
211;7052;1587;1587;15940,911820911822;2700,0007;2829;138;0;420;73272;38005;3794;UMC;129;5329;14,285714
193;5379;1504;1504;12551,551766605544;2700,0002;2702;137;0;420;73117;37741;3783;UMC;0;3992;11,688312
212;5674;1564;1564;15730,237436826548;2700,0002;2777;138;0;420;73431;38066;3790;UMC;143;4545;10,909091
224;5314;1831;1831;18395,402064932772;2700;2735;138;0;420;73710;37982;3863;UMC;0;3303;9,350649
233;6274;1871;1871;20552,52297319341;2700,0002;2749;138;0;420;73561;37985;3784;WKZ;0;4249;11,688312
227;5520;1738;1738;19449,713268467684;2700;2706;138;0;420;73597;37799;3877;Kromme Rijn;0;3718;9,87013
214;5906;1722;1722;16296,32848793646;2700;2701;137;0;420;73392;38038;3813;UMC;0;4312;12,467532
222;4778;1737;1737;18516,838951310863;2700;2758;138;0;420;73439;37549;3783;Kromme Rijn;0;4680;11,168831
197;3907;1589;1589;14139,743098159508;2699,9998;2743;138;0;420;73063;37798;3802;Vaartsche Rijn;0;4872;12,727273
219;4869;1693;1693;17896,178116278752;2700;2800;136;0;420;72726;37791;3774;UMC;100;3317;9,87013
207;4221;1835;1835;15756,342260503505;2699,9995;2706;136;0;420;72211;37765;3827;UMC;0;3238;9,61039
213;4559;1667;1667;16524,727377080544;2699,9993;2745;137;0;420;73208;37991;3869;UMC;0;3838;9,090909
203;6504;1540;1540;14467,4231491818;2700;2758;138;0;420;73469;37969;3758;Kromme Rijn;0;4337;11,428572
209;5180;1755;1755;15821,831044069475;2700;2775;136;0;420;72703;38034;3824;Vaartsche Rijn;75;4431;12,727273
215;4675;1661;1661;16658,47010230319;2700;2700;137;0;420;73147;37796;3834;UMC;0;3911;10,909091
234;5363;1789;1789;19768,313181152742;2699,9998;2718;138;0;420;73755;37537;3795;UMC;0;3950;10,38961
212;4415;1666;1666;16934,700681852344;2700;2707;137;0;420;73195;37805;3810;Kromme Rijn;0;3701;10,12987
217;4388;1789;1789;17083,834027161676;2700,4028;2775;138;0;420;73273;37945;3808;WKZ;148;5803;15,324676
213;4281;1632;1632;16205,979073243649;2700;2725;136;0;420;72918;37769;3795;UMC;0;4205;12,727273
230;4700;1898;1898;19702,70724115334;2700;2725;137;0;420;73278;37987;3825;Heidelberglaan;0;3844;10,12987
217;4545;1727;1727;17429,965309077;2700,0002;2727;137;0;420;73223;37950;3777;UMC;0;3376;9,61039
228;6681;1842;1842;18716,428911402734;2700,1995;2745;138;0;420;73529;37811;3809;UMC;0;4541;12,467532
214;4597;1749;1749;17068,342329721043;2700;2700;136;0;420;72819;37584;3752;Heidelberglaan;0;3540;10,12987
220;4603;1788;1788;18323,467256419706;2700;2740;138;0;420;73249;37968;3799;Kromme Rijn;0;4362;11,428572
208;4358;1483;1483;15089,40680845281;2700,0002;2789;138;0;420;73566;37805;3846;Heidelberglaan;89;4878;12,467532
