average_waiting_time;longest_waiting_time;longest_queue;most_left_waiting;percentage_left_waiting;average_rtt;max_rtt;avg_tram_load;lowest_tram_load;highest_tram_load;total_passengers;average_empty_time;longest_empty_time;longest_empty_time_station;total_delay_pr;total_delay_uc;punctuality
118;372;0;0;0;2700;2700;43;0;174;3174;10245;5651;Vaartsche Rijn;0;74;1,5384616
117;380;0;0;0;2700;2700;45;0;198;3366;10235;5614;Vaartsche Rijn;0;0;0
116;374;0;0;0;2700;2700;46;0;176;3369;10566;5627;UMC;0;75;1,5384616
120;338;0;0;0;2700;2700;46;0;235;3412;10577;5656;UMC;0;0;0
120;383;0;0;0;2700;2700;45;0;187;3288;10227;5597;UMC;0;150;3,0769231
118;344;0;0;0;2700;2700;44;0;191;3258;10555;5587;Padualaan;0;75;1,5384616
125;385;0;0;0;2700;2700;43;0;227;3248;10577;5583;UMC;0;237;4,6153846
117;364;0;0;0;2700;2700;44;0;183;3273;10549;5602;UMC;0;75;1,5384616
118;339;0;0;0;2700;2700;44;0;165;3221;9903;5617;Kromme Rijn;0;0;0
121;359;0;0;0;2700;2700;44;0;178;3257;10574;5612;UMC;0;210;4,6153846
116;279;0;0;0;2700;2700;44;0;176;3271;10230;5626;UMC;0;0;0
119;355;0;0;0;2700;2700;44;0;187;3263;9890;5589;Padualaan;0;150;3,0769231
121;338;0;0;0;2700;2700;44;0;212;3265;10219;5574;Padualaan;0;139;3,0769231
114;352;0;0;0;2700;2700;43;0;189;3266;10565;5638;UMC;0;75;1,5384616
119;335;0;0;0;2700;2700;45;0;178;3262;10572;5648;Kromme Rijn;0;0;0
121;341;0;0;0;2700;2700;43;0;191;3268;10221;5630;Vaartsche Rijn;0;0;0
120;352;0;0;0;2700;2700;45;0;182;3353;10584;5635;UMC;0;75;1,5384616
121;393;0;0;0;2700;2700;46;0;171;3391;10573;5611;Kromme Rijn;0;75;1,5384616
118;373;0;0;0;2700;2700;44;0;196;3246;10556;5611;UMC;0;70;1,5384616
114;286;0;0;0;2700;2700;44;0;164;3258;10554;5608;UMC;0;0;0
117;354;0;0;0;2700;2700;43;0;201;3189;10558;5620;UMC;0;75;1,5384616
122;338;0;0;0;2700;2700;43;0;207;3169;10563;5609;UMC;0;75;1,5384616
122;359;0;0;0;2700;2700;44;0;215;3297;10564;5631;Kromme Rijn;0;75;1,5384616
116;311;0;0;0;2700;2700;45;0;161;3265;9874;5614;Kromme Rijn;0;0;0
117;354;0;0;0;2700;2700;44;0;222;3307;10229;5610;UMC;0;0;0
124;408;0;0;0;2700;2700;42;0;192;3171;10575;5588;UMC;0;150;3,0769231
117;320;0;0;0;2700;2700;45;0;219;3287;10573;5595;UMC;0;172;3,0769231
118;357;0;0;0;2700;2700;45;0;170;3342;9895;5588;Kromme Rijn;0;181;3,0769231
118;339;0;0;0;2700;2700;44;0;187;3300;10558;5600;Padualaan;0;0;0
120;352;0;0;0;2700;2700;43;0;161;3230;10560;5618;UMC;0;107;1,5384616
116;330;0;0;0;2700;2700;44;0;166;3291;10553;5633;Heidelberglaan;0;0;0
114;372;0;0;0;2700;2700;43;0;196;3189;10228;5600;UMC;0;0;0
120;408;0;0;0;2700;2700;45;0;169;3286;10233;5641;UMC;0;75;1,5384616
120;378;0;0;0;2700;2700;45;0;198;3347;10249;5625;Kromme Rijn;0;136;3,0769231
116;325;0;0;0;2700;2700;44;0;180;3255;10229;5575;UMC;0;75;1,5384616
123;388;0;0;0;2700;2700;45;0;235;3341;9898;5595;Vaartsche Rijn;0;150;3,0769231
119;387;0;0;0;2700;2700;44;0;188;3265;10231;5599;UMC;0;150;3,0769231
119;327;0;0;0;2700;2700;43;0;177;3136;10220;5594;UMC;0;75;1,5384616
131;387;0;0;0;2700;2700;43;0;243;3284;10220;5550;Vaartsche Rijn;0;158;3,0769231
122;361;0;0;0;2700;2700;45;0;200;3325;10555;5637;Padualaan;0;75;1,5384616
122;345;0;0;0;2700;2700;45;0;182;3334;10557;5613;UMC;0;150;3,0769231
121;369;0;0;0;2700;2700;44;0;168;3293;9892;5564;Kromme Rijn;0;150;3,0769231
117;363;0;0;0;2700;2700;44;0;164;3214;10566;5622;UMC;0;75;1,5384616
119;370;0;0;0;2700;2700;44;0;185;3337;10565;5596;UMC;0;75;1,5384616
122;398;0;0;0;2700;2700;45;0;244;3340;10209;5694;Vaartsche Rijn;0;88;1,5384616
115;355;0;0;0;2700;2700;44;0;206;3303;10568;5584;UMC;0;0;0
118;390;0;0;0;2700;2700;44;0;162;3250;9890;5595;Kromme Rijn;0;75;1,5384616
118;425;0;0;0;2700;2700;44;0;171;3268;10574;5602;UMC;0;150;3,0769231
120;349;0;0;0;2700;2700;44;0;207;3227;10235;5606;UMC;0;0;0
116;312;0;0;0;2700;2700;44;0;183;3329;10576;5603;Kromme Rijn;0;0;0
