average_waiting_time,longest_waiting_time,longest_queue,most_left_waiting,percentage_left_waiting,average_rtt,max_rtt,avg_tram_load,lowest_tram_load,higest_tram_load,total_passengers,average_empty_time,longest_empty_time,longest_empty_time_station,total_delay_pr,total_delay_uc,punctuality
94,343,0,0,0,2394.181,2465,64,0,356,43157,37650,3747,Kromme Rijn,441,3101,7.920792
95,395,39,39,45.99846229118613,2394.0085,2450,63,0,420,42957,36452,3772,Kromme Rijn,25287,1365,3.7623763
94,389,79,79,76.93021099003015,2394.3235,2474,64,0,420,43158,37449,3765,Vaartsche Rijn,399,2300,6.1386137
96,340,67,67,65.16302334197852,2393.512,2471,64,0,420,43211,37709,3799,Galgenwaard,428,3092,8.333333
97,425,34,34,33.16381032000372,2394.1177,2484,64,0,420,43072,37499,3771,Heidelberglaan,376,3132,7.34127
92,323,0,0,0,2394.1057,2449,63,0,397,42471,37375,3774,Galgenwaard,84,2050,5.357143
93,378,0,0,0,2394.2227,2459,64,0,419,43206,37218,3834,Vaartsche Rijn,135,2267,5.357143
93,389,24,24,23.36632745311667,2394.0125,2467,64,0,420,43158,36963,3791,WKZ,137,1600,4.3650794
94,392,0,0,0,2393.9023,2453,63,0,380,42682,37589,3777,Heidelberglaan,0,2347,5.7539682
101,524,245,245,370.50718059725807,2395.8875,2626,64,0,420,42994,37775,3776,Vaartsche Rijn,3574,33954,17.623762
95,339,113,113,110.42345276872965,2394.5042,2466,64,0,420,42988,37002,3754,Heidelberglaan,124,2885,6.7460318
94,345,23,23,22.535868424122242,2393.9922,2497,63,0,420,42874,37393,3861,UMC,25557,2739,7.1287127
95,389,0,0,0,2394.4473,2482,64,0,400,42969,37218,3815,UMC,25379,1111,3.1683168
101,468,233,233,245.41167085102887,2396.6633,2583,63,0,420,42649,37805,3817,Vaartsche Rijn,1759,5708,11.5079365
96,479,55,55,123.13058035714286,2393.7473,2575,64,0,420,43003,37664,3803,Heidelberglaan,1281,4190,9.523809
95,423,46,46,50.54853492570476,2393.988,2508,64,0,420,43169,37899,3743,WKZ,25514,1939,5.1485147
96,372,135,135,130.8079176855996,2393.7405,2485,64,0,420,43358,37493,3797,WKZ,25622,2245,5.940594
95,379,55,55,53.629884150163676,2394.1292,2497,64,0,420,43097,37403,3822,WKZ,25455,2547,6.1386137
94,361,28,28,27.067080888275225,2394.3306,2553,64,0,420,43461,36986,3790,Kromme Rijn,25575,2863,7.5247526
98,444,200,200,228.2171550643199,2394.055,2590,64,0,420,43107,37465,3825,Heidelberglaan,26483,4837,10.891089
94,352,0,0,0,2393.9167,2451,64,0,380,43436,37598,3848,Padualaan,151,1747,4.5634923
96,437,78,78,107.67724793735142,2394.332,2518,63,0,420,42919,37485,3787,Padualaan,869,2907,7.7380953
94,339,0,0,0,2393.8782,2478,64,0,416,43506,37640,3751,WKZ,149,2007,5.15873
94,381,38,38,36.76572218382861,2394.3323,2447,64,0,420,43430,37618,3781,Vaartsche Rijn,122,1877,4.9504952
95,399,15,15,14.56467546856246,2394.0637,2471,64,0,420,43344,37629,3799,UMC,25431,2590,6.521739
100,568,309,309,330.70794604794185,2394.3147,2652,64,0,420,42942,37778,3770,Heidelberglaan,2294,5691,11.706349
94,369,0,0,0,2394.1167,2450,63,0,413,43139,37426,3762,Heidelberglaan,0,2009,4.7524753
94,352,0,0,0,2394.387,2451,63,0,418,42766,37225,3845,WKZ,0,1275,2.9761906
95,355,0,0,0,2393.771,2449,64,0,419,43682,36992,3795,WKZ,25357,1831,5.1485147
93,337,11,11,10.683810096431792,2394.1003,2453,64,0,420,43241,37158,3781,Kromme Rijn,0,1543,3.9682539
96,392,20,20,19.456793553764935,2393.823,2513,64,0,420,43203,37671,3794,Galgenwaard,449,2677,7.1287127
95,380,76,76,74.14461917260923,2394.6218,2462,64,0,420,43063,37427,3764,Vaartsche Rijn,435,2086,5.952381
99,396,128,128,228.10232645227728,2394.3909,2514,63,0,420,42753,37549,3733,Kromme Rijn,866,3927,9.722222
94,337,7,7,6.832760063214651,2394.4624,2455,63,0,420,43049,37390,3753,Heidelberglaan,121,2132,5.357143
94,360,0,0,0,2393.8604,2453,64,0,406,43228,37643,3747,Kromme Rijn,0,2176,4.9603176
94,420,0,0,0,2393.9407,2477,63,0,386,42804,37874,3839,Padualaan,224,2424,5.7539682
94,351,0,0,0,2394.4744,2487,64,0,407,43338,37195,3775,Heidelberglaan,242,1366,3.7698412
94,383,0,0,0,2394.1292,2491,63,0,377,42737,37388,3725,Heidelberglaan,25610,2327,6.1386137
94,384,0,0,0,2394.5679,2461,63,0,415,42872,37191,3860,WKZ,406,2257,6.547619
94,346,0,0,0,2393.9343,2450,64,0,381,43171,37169,3756,Heidelberglaan,0,1927,4.5634923
94,393,100,100,97.63127920221297,2393.8777,2512,64,0,420,43032,37408,3789,Vaartsche Rijn,274,2540,6.1507936
94,377,0,0,0,2394.1013,2454,64,0,399,43383,37626,3813,Vaartsche Rijn,202,2001,5.1485147
93,316,0,0,0,2394.4778,2464,64,0,374,43137,37378,3777,WKZ,25293,1296,3.3596838
94,483,22,22,21.315935079306527,2395.614,2523,64,0,420,43396,37468,3763,Kromme Rijn,654,2931,7.142857
94,357,0,0,0,2394.5835,2461,64,0,356,43080,37428,3826,Vaartsche Rijn,171,1491,3.7623763
96,423,66,66,64.36581458521975,2394.8987,2542,64,0,420,43083,37479,3775,Heidelberglaan,981,3220,7.7380953
94,393,62,62,60.42744761330147,2394.475,2486,63,0,420,43114,37438,3799,Kromme Rijn,381,2699,7.3267326
94,325,42,42,40.76350695567778,2394.0515,2454,64,0,420,43282,37139,3760,Kromme Rijn,60,27032,4.5454545
95,362,5,5,1.0116043812934583,2394.3103,2466,64,0,420,43012,37224,3815,Kromme Rijn,277,2468,6.1386137
94,387,40,40,38.977309637603824,2394.4285,2516,63,0,420,43083,37597,3815,Kromme Rijn,545,3309,7.9365077
